order_id,shop_id,user_id,order_amount,total_items,payment_method,Date,Time
637,90,700,178,1,credit_card,3/19/2017,11:26:29 PM
283,71,700,492,3,cash,3/26/2017,4:43:59 AM
2463,37,700,284,2,cash,3/27/2017,9:24:16 PM
1354,50,700,579,3,cash,3/7/2017,6:00:23 PM
2585,89,700,392,2,cash,3/21/2017,12:18:52 PM
2700,46,700,166,1,debit,3/18/2017,12:38:56 PM
3215,87,700,149,1,credit_card,3/10/2017,12:28:47 AM
4290,4,700,384,3,debit,3/22/2017,11:55:01 PM
2458,95,700,168,1,credit_card,3/30/2017,11:55:35 PM
2132,51,700,374,2,cash,3/11/2017,12:27:34 AM
2165,52,700,292,2,credit_card,3/25/2017,11:27:00 AM
2812,39,700,268,2,debit,3/8/2017,8:28:44 PM
4105,11,700,184,1,credit_card,3/22/2017,9:51:34 PM
3690,38,700,570,3,cash,3/8/2017,3:34:47 AM
4351,2,700,188,2,credit_card,3/7/2017,8:19:15 PM
4362,34,700,122,1,debit,3/26/2017,7:05:26 PM
3453,47,701,435,3,debit,3/7/2017,2:18:08 PM
4844,43,701,543,3,cash,3/1/2017,9:56:42 AM
1000,13,701,480,3,credit_card,3/27/2017,5:50:09 AM
3598,59,701,712,4,debit,3/23/2017,9:44:30 PM
306,25,701,390,3,cash,3/24/2017,7:36:35 PM
4453,87,701,447,3,credit_card,3/21/2017,2:21:43 AM
211,13,701,160,1,credit_card,3/4/2017,8:20:57 AM
4060,100,701,444,4,debit,3/1/2017,7:14:05 AM
3743,5,701,284,2,credit_card,3/27/2017,1:54:34 PM
3996,51,701,561,3,debit,3/16/2017,1:15:13 AM
1161,65,701,308,2,credit_card,3/9/2017,8:33:43 PM
3798,89,701,196,1,debit,3/19/2017,4:12:33 AM
2791,32,701,202,2,credit_card,3/19/2017,9:06:09 PM
4824,44,702,288,2,credit_card,3/5/2017,9:06:59 PM
1485,96,702,765,5,credit_card,3/3/2017,8:53:28 PM
3331,96,702,306,2,credit_card,3/17/2017,6:44:34 PM
2692,19,702,652,4,debit,3/19/2017,1:32:15 AM
4802,27,702,338,2,debit,3/1/2017,6:39:15 PM
3053,84,702,306,2,credit_card,3/6/2017,2:18:46 PM
3618,28,702,164,1,credit_card,3/29/2017,7:10:18 AM
4468,79,702,181,1,credit_card,3/18/2017,2:05:22 PM
1827,67,702,262,2,debit,3/10/2017,4:48:44 PM
4708,44,702,432,3,cash,3/7/2017,11:19:24 PM
2357,68,702,408,3,debit,3/28/2017,4:57:15 PM
2397,35,702,656,4,cash,3/27/2017,7:23:36 AM
3752,17,702,528,3,debit,3/18/2017,8:12:17 AM
765,95,703,168,1,credit_card,3/7/2017,5:45:26 AM
2352,23,703,312,2,cash,3/16/2017,1:53:21 PM
2695,26,703,352,2,debit,3/28/2017,2:39:23 PM
4753,80,703,290,2,cash,3/6/2017,7:05:48 AM
1996,62,703,640,4,cash,3/9/2017,8:46:40 AM
